year,country_code,country,player_name,player_name_norm,position,dob,age_at_tournament,caps,goals,club,club_country,data_tier
2026,CZE,Czech Republic,Michal Sadílek,michal sadilek,MF,1999-05-31,27,35,1,Slavia Prague,,
2026,CZE,Czech Republic,Tomáš Chorý,tomas chory,FW,1995-01-26,31,22,7,Slavia Prague,,
2026,CZE,Czech Republic,Jaroslav Zelený,jaroslav zeleny,DF,1992-08-20,33,23,0,Sparta Prague,,
2026,CZE,Czech Republic,David Douděra,david doudera,DF,1998-05-31,28,17,2,Slavia Prague,,
2026,CZE,Czech Republic,Tomáš Souček,tomas soucek,MF,1995-02-27,31,90,17,West Ham United,,
2026,CZE,Czech Republic,Lukáš Horníček,lukas hornicek,GK,2002-07-13,23,1,0,Braga,,
2026,CZE,Czech Republic,Alexandr Sojka,alexandr sojka,MF,2003-04-02,23,2,0,Viktoria Plzeň,,
2026,CZE,Czech Republic,Hugo Sochůrek,hugo sochurek,MF,2008-06-07,18,1,0,Sparta Prague,,
2026,CZE,Czech Republic,Denis Višinský,denis visinsky,FW,2003-03-21,23,2,1,Viktoria Plzeň,,
2026,MEX,Mexico,Raúl Rangel,raul rangel,GK,2000-02-25,26,14,0,Guadalajara,,
2026,MEX,Mexico,Jorge Sánchez,jorge sanchez,DF,1997-12-10,28,59,3,PAOK,,
2026,MEX,Mexico,César Montes,cesar montes,DF,1997-02-24,29,67,4,Lokomotiv Moscow,,
2026,MEX,Mexico,Edson Álvarez ( captain ),edson alvarez ( captain ),DF,1997-10-24,28,98,7,Fenerbahçe,,
2026,MEX,Mexico,Johan Vásquez,johan vasquez,DF,1998-10-22,27,46,3,Genoa,,
2026,MEX,Mexico,Érik Lira,erik lira,MF,2000-05-08,26,25,0,Cruz Azul,,
2026,MEX,Mexico,Luis Romo,luis romo,MF,1995-06-05,31,63,4,Guadalajara,,
2026,MEX,Mexico,Álvaro Fidalgo,alvaro fidalgo,MF,1997-04-09,29,4,0,Real Betis,,
2026,MEX,Mexico,Raúl Jiménez,raul jimenez,FW,1991-05-05,35,124,45,Fulham,,
2026,MEX,Mexico,Alexis Vega,alexis vega,FW,1997-11-25,28,52,7,Toluca,,
2026,MEX,Mexico,Santiago Giménez,santiago gimenez,FW,2001-04-18,25,47,6,Milan,,
2026,MEX,Mexico,Carlos Acevedo,carlos acevedo,GK,1996-04-19,30,7,0,Santos Laguna,,
2026,MEX,Mexico,Guillermo Ochoa,guillermo ochoa,GK,1985-07-13,40,152,0,AEL Limassol,,
2026,MEX,Mexico,Armando González,armando gonzalez,FW,2003-04-20,23,7,1,Guadalajara,,
2026,MEX,Mexico,Israel Reyes,israel reyes,DF,2000-05-23,26,34,2,América,,
2026,MEX,Mexico,Julián Quiñones,julian quinones,FW,1997-03-24,29,22,2,Al-Qadsiah,,
2026,MEX,Mexico,Orbelín Pineda,orbelin pineda,MF,1996-03-24,30,92,12,AEK Athens,,
2026,MEX,Mexico,Obed Vargas,obed vargas,MF,2005-08-05,20,6,0,Atlético Madrid,,
2026,MEX,Mexico,Gilberto Mora,gilberto mora,MF,2008-10-14,17,8,0,Tijuana,,
2026,MEX,Mexico,Mateo Chávez,mateo chavez,DF,2004-05-12,22,10,0,AZ,,
2026,MEX,Mexico,César Huerta,cesar huerta,FW,2000-12-03,25,26,3,Anderlecht,,
2026,MEX,Mexico,Guillermo Martínez,guillermo martinez,FW,1995-03-15,31,12,3,Pumas UNAM,,
2026,MEX,Mexico,Jesús Gallardo,jesus gallardo,DF,1994-08-15,31,121,3,Toluca,,
2026,MEX,Mexico,Luis Chávez,luis chavez,MF,1996-01-15,30,45,5,Dynamo Moscow,,
2026,MEX,Mexico,Roberto Alvarado,roberto alvarado,FW,1998-09-07,27,67,5,Guadalajara,,
2026,MEX,Mexico,Brian Gutiérrez,brian gutierrez,MF,2003-06-17,22,7,2,Guadalajara,,
2026,RSA,South Africa,Ronwen Williams ( captain ),ronwen williams ( captain ),GK,1992-01-21,34,62,0,Mamelodi Sundowns,,
2026,RSA,South Africa,Thabang Matuludi,thabang matuludi,DF,1999-01-14,27,3,0,Polokwane City,,
2026,RSA,South Africa,Khulumani Ndamane,khulumani ndamane,DF,2004-02-05,22,5,0,Mamelodi Sundowns,,
2026,RSA,South Africa,Teboho Mokoena,teboho mokoena,MF,1997-01-24,29,51,9,Mamelodi Sundowns,,
2026,RSA,South Africa,Thalente Mbatha,thalente mbatha,MF,2000-03-06,26,15,3,Orlando Pirates,,
2026,RSA,South Africa,Aubrey Modiba,aubrey modiba,DF,1995-07-22,30,44,3,Mamelodi Sundowns,,
2026,RSA,South Africa,Oswin Appollis,oswin appollis,FW,2001-08-25,24,26,8,Orlando Pirates,,
2026,RSA,South Africa,Tshepang Moremi,tshepang moremi,FW,2000-10-02,25,10,1,Orlando Pirates,,
2026,RSA,South Africa,Lyle Foster,lyle foster,FW,2000-09-03,25,27,10,Burnley,,
2026,RSA,South Africa,Relebohile Mofokeng,relebohile mofokeng,FW,2004-10-23,21,13,0,Orlando Pirates,,
2026,RSA,South Africa,Themba Zwane,themba zwane,MF,1989-08-03,36,54,12,Mamelodi Sundowns,,
2026,RSA,South Africa,Thapelo Maseko,thapelo maseko,FW,2003-11-11,22,10,1,AEL Limassol,,
2026,RSA,South Africa,Sphephelo Sithole,sphephelo sithole,MF,1999-03-03,27,28,1,Tondela,,
2026,RSA,South Africa,Mbekezeli Mbokazi,mbekezeli mbokazi,DF,2005-09-19,20,10,1,Chicago Fire FC,,
2026,RSA,South Africa,Iqraam Rayners,iqraam rayners,FW,1995-12-19,30,14,4,Mamelodi Sundowns,,
2026,RSA,South Africa,Sipho Chaine,sipho chaine,GK,1996-12-14,29,4,0,Orlando Pirates,,
2026,RSA,South Africa,Evidence Makgopa,evidence makgopa,FW,2000-06-05,26,26,6,Orlando Pirates,,
2026,RSA,South Africa,Samukele Kabini,samukele kabini,DF,2004-03-15,22,6,0,Molde,,
2026,RSA,South Africa,Nkosinathi Sibisi,nkosinathi sibisi,DF,1995-09-22,30,20,0,Orlando Pirates,,
2026,RSA,South Africa,Khuliso Mudau,khuliso mudau,DF,1995-04-26,31,32,1,Mamelodi Sundowns,,
2026,RSA,South Africa,Ime Okon,ime okon,DF,2004-02-20,22,8,1,Hannover 96,,
2026,RSA,South Africa,Ricardo Goss,ricardo goss,GK,1994-04-02,32,5,0,Siwelele,,
2026,RSA,South Africa,Jayden Adams,jayden adams,MF,2001-05-05,25,5,0,Mamelodi Sundowns,,
2026,RSA,South Africa,Olwethu Makhanya,olwethu makhanya,DF,2004-04-30,22,1,0,Philadelphia Union,,
2026,RSA,South Africa,Kamogelo Sebelebele,kamogelo sebelebele,FW,2002-07-21,23,3,0,Orlando Pirates,,
2026,RSA,South Africa,Bradley Cross,bradley cross,DF,2001-01-30,25,1,0,Kaizer Chiefs,,
2026,KOR,South Korea,Kim Seung-gyu,kim seung-gyu,GK,1990-09-30,35,87,0,FC Tokyo,,
2026,KOR,South Korea,Lee Han-beom,lee han-beom,DF,2002-06-17,23,8,0,Midtjylland,,
2026,KOR,South Korea,Lee Gi-hyuk,lee gi-hyuk,MF,2000-07-07,25,3,0,Gangwon FC,,
2026,KOR,South Korea,Kim Min-jae,kim min-jae,DF,1996-11-15,29,79,4,Bayern Munich,,
2026,KOR,South Korea,Kim Tae-hyeon,kim tae-hyeon,DF,2000-09-17,25,7,0,Kashima Antlers,,
2026,KOR,South Korea,Hwang In-beom,hwang in-beom,MF,1996-09-20,29,73,6,Feyenoord,,
2026,KOR,South Korea,Son Heung-min ( captain ),son heung-min ( captain ),FW,1992-07-08,33,144,56,Los Angeles FC,,
2026,KOR,South Korea,Paik Seung-ho,paik seung-ho,MF,1997-03-17,29,27,3,Birmingham City,,
2026,KOR,South Korea,Cho Gue-sung,cho gue-sung,FW,1998-01-25,28,44,12,Midtjylland,,
2026,KOR,South Korea,Lee Jae-sung,lee jae-sung,MF,1992-08-10,33,105,15,Mainz 05,,
2026,KOR,South Korea,Hwang Hee-chan,hwang hee-chan,MF,1996-01-26,30,79,17,Wolverhampton Wanderers,,
2026,KOR,South Korea,Song Bum-keun,song bum-keun,GK,1997-10-15,28,3,0,Jeonbuk Hyundai Motors,,
2026,KOR,South Korea,Lee Tae-seok,lee tae-seok,DF,2002-07-28,23,15,1,Austria Wien,,
2026,KOR,South Korea,Cho Wi-je,cho wi-je,DF,2001-08-25,24,1,0,Jeonbuk Hyundai Motors,,
2026,KOR,South Korea,Kim Moon-hwan,kim moon-hwan,DF,1995-08-01,30,35,0,Daejeon Hana Citizen,,
2026,KOR,South Korea,Park Jin-seob,park jin-seob,DF,1995-10-23,30,14,1,Zhejiang,,
2026,KOR,South Korea,Bae Jun-ho,bae jun-ho,MF,2003-08-21,22,13,2,Stoke City,,
2026,KOR,South Korea,Oh Hyeon-gyu,oh hyeon-gyu,FW,2001-04-12,25,27,6,Beşiktaş,,
2026,KOR,South Korea,Lee Kang-in,lee kang-in,MF,2001-02-19,25,47,11,Paris Saint-Germain,,
2026,KOR,South Korea,Yang Hyun-jun,yang hyun-jun,MF,2002-05-25,24,9,0,Celtic,,
2026,KOR,South Korea,Jo Hyeon-woo,jo hyeon-woo,GK,1991-09-25,34,48,0,Ulsan HD,,
2026,KOR,South Korea,Seol Young-woo,seol young-woo,DF,1998-12-05,27,34,0,Red Star Belgrade,,
2026,KOR,South Korea,Jens Castrop,jens castrop,DF,2003-07-29,22,7,0,Borussia Mönchengladbach,,
2026,KOR,South Korea,Kim Jin-gyu,kim jin-gyu,MF,1997-02-24,29,22,3,Jeonbuk Hyundai Motors,,
2026,KOR,South Korea,Eom Ji-sung,eom ji-sung,MF,2002-05-09,24,9,2,Swansea City,,
2026,KOR,South Korea,Lee Dong-gyeong,lee dong-gyeong,MF,1997-09-20,28,18,4,Ulsan HD,,
2026,BIH,Bosnia and Herzegovina,Nikola Vasilj,nikola vasilj,GK,1995-12-02,30,26,0,FC St. Pauli,,
2026,BIH,Bosnia and Herzegovina,Nihad Mujakić,nihad mujakic,DF,1998-04-15,28,12,1,Gaziantep,,
2026,BIH,Bosnia and Herzegovina,Dennis Hadžikadunić,dennis hadzikadunic,DF,1998-07-09,27,32,0,Sampdoria,,
2026,BIH,Bosnia and Herzegovina,Tarik Muharemović,tarik muharemovic,DF,2003-02-28,23,14,1,Sassuolo,,
2026,BIH,Bosnia and Herzegovina,Sead Kolašinac,sead kolasinac,DF,1993-06-20,32,65,0,Atalanta,,
2026,BIH,Bosnia and Herzegovina,Benjamin Tahirović,benjamin tahirovic,MF,2003-03-03,23,28,2,Brøndby,,
2026,BIH,Bosnia and Herzegovina,Amar Dedić,amar dedic,DF,2002-08-18,23,28,1,Benfica,,
2026,BIH,Bosnia and Herzegovina,Armin Gigović,armin gigovic,MF,2002-04-06,24,20,1,Young Boys,,
2026,BIH,Bosnia and Herzegovina,Samed Baždar,samed bazdar,FW,2004-01-31,22,13,1,Jagiellonia Białystok,,
2026,BIH,Bosnia and Herzegovina,Ermedin Demirović,ermedin demirovic,FW,1998-03-25,28,40,4,VfB Stuttgart,,
2026,BIH,Bosnia and Herzegovina,Edin Džeko ( captain ),edin dzeko ( captain ),FW,1986-03-17,40,148,73,Schalke 04,,
2026,BIH,Bosnia and Herzegovina,Mladen Jurkas,mladen jurkas,GK,2007-10-07,18,0,0,Borac Banja Luka,,
2026,BIH,Bosnia and Herzegovina,Ivan Bašić,ivan basic,MF,2002-04-30,24,17,0,Astana,,
2026,BIH,Bosnia and Herzegovina,Ivan Šunjić,ivan sunjic,MF,1996-10-09,29,11,0,Pafos,,
2026,BIH,Bosnia and Herzegovina,Amar Memić,amar memic,MF,2001-01-20,25,13,1,Viktoria Plzeň,,
2026,BIH,Bosnia and Herzegovina,Amir Hadžiahmetović,amir hadziahmetovic,MF,1997-03-08,29,36,0,Hull City,,
2026,BIH,Bosnia and Herzegovina,Dženis Burnić,dzenis burnic,MF,1998-05-22,28,20,0,Karlsruher SC,,
2026,BIH,Bosnia and Herzegovina,Nikola Katić,nikola katic,DF,1996-10-10,29,17,2,Schalke 04,,
2026,BIH,Bosnia and Herzegovina,Kerim Alajbegović,kerim alajbegovic,FW,2007-09-21,18,10,1,Red Bull Salzburg,,
2026,BIH,Bosnia and Herzegovina,Esmir Bajraktarević,esmir bajraktarevic,FW,2005-03-10,21,16,1,PSV Eindhoven,,
2026,BIH,Bosnia and Herzegovina,Stjepan Radeljić,stjepan radeljic,DF,1997-09-05,28,5,0,Rijeka,,
2026,BIH,Bosnia and Herzegovina,Martin Zlomislić,martin zlomislic,GK,1998-08-16,27,3,0,Rijeka,,
2026,BIH,Bosnia and Herzegovina,Haris Tabaković,haris tabakovic,FW,1994-06-20,31,10,4,Borussia Mönchengladbach,,
2026,BIH,Bosnia and Herzegovina,Arjan Malić,arjan malic,DF,2005-08-28,20,8,0,Sturm Graz,,
2026,BIH,Bosnia and Herzegovina,Jovo Lukić,jovo lukic,FW,1998-11-28,27,3,0,Universitatea Cluj,,
2026,BIH,Bosnia and Herzegovina,Ermin Mahmić,ermin mahmic,MF,2005-03-14,21,2,0,Slovan Liberec,,
2026,CAN,Canada,Dayne St. Clair,dayne st. clair,GK,1997-05-09,29,20,0,Inter Miami CF,,
2026,CAN,Canada,Alistair Johnston,alistair johnston,DF,1998-10-08,27,58,1,Celtic,,
2026,CAN,Canada,Alfie Jones,alfie jones,DF,1997-10-07,28,2,0,Middlesbrough,,
2026,CAN,Canada,Luc de Fougerolles,luc de fougerolles,DF,2005-10-12,20,13,0,Dender,,
2026,CAN,Canada,Joel Waterman,joel waterman,DF,1996-01-24,30,17,0,Chicago Fire FC,,
2026,CAN,Canada,Mathieu Choinière,mathieu choiniere,MF,1999-02-07,27,23,0,Los Angeles FC,,
2026,CAN,Canada,Stephen Eustáquio,stephen eustaquio,MF,1996-12-21,29,56,4,Los Angeles FC,,
2026,CAN,Canada,Ismaël Koné,ismael kone,MF,2002-06-16,23,40,4,Sassuolo,,
2026,CAN,Canada,Cyle Larin,cyle larin,FW,1995-04-17,31,90,30,Southampton,,
2026,CAN,Canada,Jonathan David,jonathan david,FW,2000-01-14,26,77,39,Juventus,,
2026,CAN,Canada,Liam Millar,liam millar,MF,1999-09-27,26,41,1,Hull City,,
2026,CAN,Canada,Tani Oluwaseyi,tani oluwaseyi,FW,2000-05-15,26,24,2,Villarreal,,
2026,CAN,Canada,Derek Cornelius,derek cornelius,DF,1997-11-25,28,44,1,Rangers,,
2026,CAN,Canada,Jacob Shaffelburg,jacob shaffelburg,MF,1999-11-26,26,31,6,Los Angeles FC,,
2026,CAN,Canada,Moïse Bombito,moise bombito,DF,2000-03-30,26,20,0,Nice,,
2026,CAN,Canada,Maxime Crépeau,maxime crepeau,GK,1994-05-11,32,32,0,Orlando City SC,,
2026,CAN,Canada,Tajon Buchanan,tajon buchanan,FW,1999-02-08,27,60,8,Villarreal,,
2026,CAN,Canada,Owen Goodman,owen goodman,GK,2003-11-27,22,0,0,Barnsley,,
2026,CAN,Canada,Alphonso Davies ( captain ),alphonso davies ( captain ),DF,2000-11-02,25,58,15,Bayern Munich,,
2026,CAN,Canada,Ali Ahmed,ali ahmed,FW,2000-10-10,25,24,1,Norwich City,,
2026,CAN,Canada,Jonathan Osorio,jonathan osorio,MF,1992-06-12,33,90,10,Toronto FC,,
2026,CAN,Canada,Richie Laryea,richie laryea,DF,1995-01-07,31,75,1,Toronto FC,,
2026,CAN,Canada,Niko Sigur,niko sigur,DF,2003-09-09,22,19,2,Hajduk Split,,
2026,CAN,Canada,Promise David,promise david,FW,2001-07-03,24,10,3,Union Saint-Gilloise,,
2026,CAN,Canada,Nathan Saliba,nathan saliba,MF,2004-02-07,22,15,2,Anderlecht,,
2026,CAN,Canada,Jayden Nelson,jayden nelson,FW,2002-09-26,23,14,3,Austin FC,,
2026,QAT,Qatar,Mahmud Abunada,mahmud abunada,GK,2000-02-05,26,5,0,Al-Rayyan,,
2026,QAT,Qatar,Pedro Miguel,pedro miguel,DF,1990-08-06,35,99,3,Al-Sadd,,
2026,QAT,Qatar,Lucas Mendes,lucas mendes,DF,1990-07-03,35,25,1,Al-Wakrah,,
2026,QAT,Qatar,Issa Laye,issa laye,DF,1997-12-22,28,4,0,Al-Arabi,,
2026,QAT,Qatar,Jassem Gaber,jassem gaber,DF,2002-02-20,24,32,1,Al-Rayyan,,
2026,QAT,Qatar,Abdulaziz Hatem,abdulaziz hatem,MF,1990-01-01,36,117,11,Al-Rayyan,,
2026,QAT,Qatar,Ahmed Alaaeldin,ahmed alaaeldin,FW,1993-01-31,33,68,9,Al-Rayyan,,
2026,QAT,Qatar,Edmilson Junior,edmilson junior,FW,1994-08-19,31,16,0,Al-Duhail,,
2026,QAT,Qatar,Mohammed Muntari,mohammed muntari,FW,1993-12-20,32,67,16,Al-Gharafa,,
2026,QAT,Qatar,Hassan Al-Haydos ( captain ),hassan al-haydos ( captain ),FW,1990-12-11,35,186,41,Al-Sadd,,
2026,QAT,Qatar,Akram Afif,akram afif,FW,1996-11-18,29,125,39,Al-Sadd,,
2026,QAT,Qatar,Karim Boudiaf,karim boudiaf,MF,1990-09-16,35,118,5,Al-Duhail,,
2026,QAT,Qatar,Ayoub Al-Oui,ayoub al-oui,DF,2005-03-11,21,6,0,Al-Gharafa,,
2026,QAT,Qatar,Homam Ahmed,homam ahmed,DF,1999-08-25,26,68,3,Cultural Leonesa,,
2026,QAT,Qatar,Yusuf Abdurisag,yusuf abdurisag,FW,1999-08-06,26,39,3,Al-Wakrah,,
2026,QAT,Qatar,Boualem Khoukhi,boualem khoukhi,DF,1990-07-09,35,116,20,Al-Sadd,,
2026,QAT,Qatar,Ahmed Al-Ganehi,ahmed al-ganehi,MF,2000-09-22,25,13,1,Al-Gharafa,,
2026,QAT,Qatar,Sultan Al-Brake,sultan al-brake,DF,1996-04-07,30,17,0,Al-Duhail,,
2026,QAT,Qatar,Almoez Ali,almoez ali,FW,1996-08-19,29,115,55,Al-Duhail,,
2026,QAT,Qatar,Ahmed Fathy,ahmed fathy,MF,1993-01-25,33,48,0,Al-Arabi,,
2026,QAT,Qatar,Salah Zakaria,salah zakaria,GK,1999-04-24,27,8,0,Al-Duhail,,
2026,QAT,Qatar,Meshaal Barsham,meshaal barsham,GK,1998-02-14,28,52,0,Al-Sadd,,
2026,QAT,Qatar,Assim Madibo,assim madibo,MF,1996-10-22,29,51,0,Al-Wakrah,,
2026,QAT,Qatar,Tahsin Jamshid,tahsin jamshid,FW,2006-06-16,19,3,0,Al-Duhail,,
2026,QAT,Qatar,Al-Hashmi Al-Hussain,al-hashmi al-hussain,DF,2003-08-15,22,8,0,Al-Arabi,,
2026,QAT,Qatar,Mohamed Manai,mohamed manai,FW,2002-10-25,23,10,0,Al-Shamal,,
2026,SUI,Switzerland,Gregor Kobel,gregor kobel,GK,1997-12-06,28,21,0,Borussia Dortmund,,
2026,SUI,Switzerland,Miro Muheim,miro muheim,DF,1998-03-24,28,10,0,Hamburger SV,,
2026,SUI,Switzerland,Silvan Widmer,silvan widmer,DF,1993-03-05,33,60,5,Mainz 05,,
2026,SUI,Switzerland,Nico Elvedi,nico elvedi,DF,1996-09-30,29,67,3,Borussia Mönchengladbach,,
2026,SUI,Switzerland,Manuel Akanji,manuel akanji,DF,1995-07-19,30,81,4,Inter Milan,,
2026,SUI,Switzerland,Denis Zakaria,denis zakaria,MF,1996-11-20,29,65,3,Monaco,,
2026,SUI,Switzerland,Breel Embolo,breel embolo,FW,1997-02-14,29,86,24,Rennes,,
2026,SUI,Switzerland,Remo Freuler,remo freuler,MF,1992-04-15,34,88,11,Bologna,,
2026,SUI,Switzerland,Johan Manzambi,johan manzambi,MF,2005-10-14,20,12,3,SC Freiburg,,
2026,SUI,Switzerland,Granit Xhaka ( captain ),granit xhaka ( captain ),MF,1992-09-27,33,146,17,Sunderland,,
2026,SUI,Switzerland,Dan Ndoye,dan ndoye,FW,2000-10-25,25,31,8,Nottingham Forest,,
2026,SUI,Switzerland,Yvon Mvogo,yvon mvogo,GK,1994-06-06,32,13,0,Lorient,,
2026,SUI,Switzerland,Ricardo Rodriguez,ricardo rodriguez,DF,1992-08-25,33,138,9,Real Betis,,
2026,SUI,Switzerland,Ardon Jashari,ardon jashari,MF,2002-07-30,23,8,0,Milan,,
2026,SUI,Switzerland,Djibril Sow,djibril sow,MF,1997-02-06,29,52,0,Sevilla,,
2026,SUI,Switzerland,Christian Fassnacht,christian fassnacht,FW,1993-11-11,32,23,5,Young Boys,,
2026,SUI,Switzerland,Rubén Vargas,ruben vargas,FW,1998-08-05,27,61,11,Sevilla,,
2026,SUI,Switzerland,Eray Cömert,eray comert,DF,1998-02-04,28,22,0,Valencia,,
2026,SUI,Switzerland,Noah Okafor,noah okafor,FW,2000-05-24,26,25,2,Leeds United,,
2026,SUI,Switzerland,Michel Aebischer,michel aebischer,MF,1997-01-06,29,40,2,Pisa,,
2026,SUI,Switzerland,Marvin Keller,marvin keller,GK,2002-07-03,23,1,0,Young Boys,,
2026,SUI,Switzerland,Fabian Rieder,fabian rieder,MF,2002-02-16,24,28,1,FC Augsburg,,
2026,SUI,Switzerland,Zeki Amdouni,zeki amdouni,FW,2000-12-04,25,29,11,Burnley,,
2026,SUI,Switzerland,Aurèle Amenda,aurele amenda,DF,2003-07-31,22,7,0,Eintracht Frankfurt,,
2026,SUI,Switzerland,Luca Jaquez,luca jaquez,DF,2003-06-02,23,3,0,VfB Stuttgart,,
2026,SUI,Switzerland,Cedric Itten,cedric itten,FW,1996-12-27,29,15,5,Fortuna Düsseldorf,,
2026,BRA,Brazil,Alisson,alisson,GK,1992-10-02,33,78,0,Liverpool,,
2026,BRA,Brazil,Éderson Silva,ederson silva,MF,1999-07-07,26,3,0,Atalanta,,
2026,BRA,Brazil,Gabriel Magalhães,gabriel magalhaes,DF,1997-12-19,28,17,1,Arsenal,,
2026,BRA,Brazil,Marquinhos ( captain ),marquinhos ( captain ),DF,1994-05-14,32,105,7,Paris Saint-Germain,,
2026,BRA,Brazil,Casemiro,casemiro,MF,1992-02-23,34,86,9,Manchester United,,
2026,BRA,Brazil,Alex Sandro,alex sandro,DF,1991-01-26,35,45,2,Flamengo,,
2026,BRA,Brazil,Vinícius Júnior,vinicius junior,FW,2000-07-12,25,49,9,Real Madrid,,
2026,BRA,Brazil,Bruno Guimarães,bruno guimaraes,MF,1997-11-16,28,43,3,Newcastle United,,
2026,BRA,Brazil,Matheus Cunha,matheus cunha,FW,1999-05-27,27,23,1,Manchester United,,
2026,BRA,Brazil,Neymar,neymar,FW,1992-02-05,34,128,79,Santos,,
2026,BRA,Brazil,Raphinha,raphinha,FW,1996-12-14,29,39,11,Barcelona,,
2026,BRA,Brazil,Weverton,weverton,GK,1987-12-13,38,11,0,Grêmio,,
2026,BRA,Brazil,Danilo Luiz,danilo luiz,DF,1991-07-15,34,70,1,Flamengo,,
2026,BRA,Brazil,Bremer,bremer,DF,1997-03-18,29,8,1,Juventus,,
2026,BRA,Brazil,Léo Pereira,leo pereira,DF,1996-01-31,30,4,0,Flamengo,,
2026,BRA,Brazil,Douglas Santos,douglas santos,DF,1994-03-22,32,7,0,Zenit Saint Petersburg,,
2026,BRA,Brazil,Fabinho,fabinho,MF,1993-10-23,32,33,0,Al-Ittihad,,
2026,BRA,Brazil,Danilo Santos,danilo santos,MF,2001-04-29,25,4,2,Botafogo,,
2026,BRA,Brazil,Endrick,endrick,FW,2006-07-21,19,17,4,Lyon,,
2026,BRA,Brazil,Lucas Paquetá,lucas paqueta,MF,1997-08-27,28,63,13,Flamengo,,
2026,BRA,Brazil,Luiz Henrique,luiz henrique,FW,2001-01-02,25,15,2,Zenit Saint Petersburg,,
2026,BRA,Brazil,Gabriel Martinelli,gabriel martinelli,FW,2001-06-18,24,23,4,Arsenal,,
2026,BRA,Brazil,Ederson Moraes,ederson moraes,GK,1993-08-17,32,32,0,Fenerbahçe,,
2026,BRA,Brazil,Roger Ibañez,roger ibanez,DF,1998-11-23,27,7,0,Al-Ahli,,
2026,BRA,Brazil,Igor Thiago,igor thiago,FW,2001-06-26,24,4,2,Brentford,,
2026,BRA,Brazil,Rayan,rayan,FW,2006-08-03,19,2,1,Bournemouth,,
2026,HAI,Haiti,Johny Placide ( captain ),johny placide ( captain ),GK,1988-01-29,38,82,0,Bastia,,
2026,HAI,Haiti,Carlens Arcus,carlens arcus,DF,1996-06-28,29,56,1,Angers,,
2026,HAI,Haiti,Keeto Thermoncy,keeto thermoncy,DF,2006-03-29,20,1,0,Young Boys,,
2026,HAI,Haiti,Ricardo Adé,ricardo ade,DF,1990-05-21,36,59,2,LDU Quito,,
2026,HAI,Haiti,Hannes Delcroix,hannes delcroix,DF,1999-02-28,27,7,0,Lugano,,
2026,HAI,Haiti,Carl Sainté,carl sainte,MF,2002-08-09,23,26,0,El Paso Locomotive FC,,
2026,HAI,Haiti,Derrick Etienne Jr.,derrick etienne jr.,FW,1996-11-25,29,51,8,Toronto FC,,
2026,HAI,Haiti,Martin Expérience,martin experience,DF,1999-03-09,27,21,0,Nancy,,
2026,HAI,Haiti,Duckens Nazon,duckens nazon,FW,1994-04-07,32,82,44,Esteghlal,,
2026,HAI,Haiti,Jean-Ricner Bellegarde,jean-ricner bellegarde,MF,1998-06-27,27,10,0,Wolverhampton Wanderers,,
2026,HAI,Haiti,Louicius Deedson,louicius deedson,FW,2001-02-11,25,32,10,FC Dallas,,
2026,HAI,Haiti,Alexandre Pierre,alexandre pierre,GK,2001-02-25,25,16,0,Sochaux,,
2026,HAI,Haiti,Duke Lacroix,duke lacroix,DF,1993-10-14,32,16,3,Colorado Springs Switchbacks FC,,
